t,Q1,Q2,Q3,Q4,Q5,Q6,Q7
0.5,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1.5,-0.0052192211,0.0023716032,0.010299544,-0.0025174635,-0.0052949809,0.0073715256,0.0022807789
2,-0.0042549784,0.0034264963,0.011781111,-0.0013519896,-0.0044065023,0.0084261827,0.003245017
2.5,-0.003291337,0.0044806184,0.013260649,-0.00018764127,-0.0035186293,0.0094799138,0.0042086533
3,-0.0023282967,0.0055339701,0.014738159,0.00097558246,-0.0026313616,0.01053272,0.0051716884
3.5,-0.0013658569,0.0065865521,0.016213644,0.0021376827,-0.0017446988,0.011584601,0.0061341225
4,-0.00040401743,0.0076383648,0.017687108,0.0032986604,-0.00085864037,0.012635559,0.0070959562
4.5,0.0005572222,0.008689409,0.019158552,0.0044585169,2.6814026e-05,0.013685594,0.0080571898
5,0.0015178624,0.0097396852,0.020627981,0.005617253,0.00091166484,0.014734707,0.0090178238
5.5,0.0024779035,0.010789194,0.022095396,0.00677487,0.0017959125,0.0157829,0.0099778585
6,0.0034373459,0.011837936,0.0235608,0.0079313689,0.0026795575,0.016830172,0.010937294
6.5,0.0043961901,0.012885912,0.025024197,0.0090867508,0.0035626002,0.017876525,0.011896132
7,0.0053544365,0.013933122,0.026485589,0.010241017,0.0044450411,0.01892196,0.012854372
7.5,0.0063120855,0.014979568,0.027944979,0.011394168,0.0053268806,0.019966477,0.013812014
8,0.0072691374,0.016025249,0.029402369,0.012546206,0.0062081193,0.021010077,0.014769059
8.5,0.0082255928,0.017070166,0.030857763,0.013697131,0.0070887575,0.022052762,0.015725508
9,0.0091814521,0.01811432,0.032311163,0.014846945,0.0079687957,0.023094532,0.01668136
9.5,0.010136716,0.019157712,0.033762572,0.015995648,0.0088482344,0.024135388,0.017636617
10,0.011091384,0.020200342,0.035211992,0.017143242,0.009727074,0.02517533,0.018591278
10.5,0.012045457,0.021242211,0.036659427,0.018289728,0.010605315,0.026214361,0.019545345
11,0.012998936,0.022283319,0.03810488,0.019435108,0.011482958,0.027252479,0.020498817
11.5,0.013951821,0.023323667,0.039548352,0.020579381,0.012360003,0.028289687,0.021451695
12,0.014904113,0.024363255,0.040989848,0.021722549,0.013236451,0.029325986,0.022403979
12.5,0.015855811,0.025402085,0.042429368,0.022864614,0.014112303,0.030361375,0.023355671
13,0.016806917,0.026440157,0.043866918,0.024005577,0.014987558,0.031395856,0.024306769
13.5,0.01775743,0.027477471,0.045302498,0.025145437,0.015862217,0.03242943,0.025257276
14,0.018707352,0.028514028,0.046736112,0.026284198,0.016736281,0.033462097,0.02620719
14.5,0.019656682,0.029549829,0.048167762,0.02742186,0.01760975,0.03449386,0.027156514
15,0.020605422,0.030584874,0.049597452,0.028558423,0.018482625,0.035524717,0.028105246
15.5,0.02155357,0.031619164,0.051025184,0.029693889,0.019354905,0.03655467,0.029053388
16,0.022501129,0.032652699,0.05245096,0.03082826,0.020226593,0.037583721,0.03000094
16.5,0.023448098,0.033685481,0.053874784,0.031961536,0.021097687,0.038611869,0.030947902
17,0.024394478,0.034717509,0.055296659,0.033093718,0.021968189,0.039639116,0.031894275
17.5,0.025340269,0.035748785,0.056716586,0.034224808,0.022838099,0.040665463,0.03284006
18,0.026285472,0.036779308,0.058134568,0.035354806,0.023707417,0.04169091,0.033785256
18.5,0.027230087,0.037809081,0.05955061,0.036483714,0.024576144,0.042715458,0.034729864
19,0.028174115,0.038838102,0.060964712,0.037611533,0.02544428,0.043739108,0.035673885
19.5,0.029117555,0.039866373,0.062376878,0.038738263,0.026311827,0.044761862,0.036617318
20,0.030060409,0.040893895,0.06378711,0.039863907,0.027178783,0.045783719,0.037560166
20.5,0.031002677,0.041920667,0.065195411,0.040988464,0.028045151,0.04680468,0.038502427
21,0.031944359,0.042946692,0.066601785,0.042111937,0.028910929,0.047824747,0.039444102
21.5,0.032885456,0.043971968,0.068006233,0.043234326,0.029776119,0.048843921,0.040385192
22,0.033825968,0.044996497,0.069408758,0.044355633,0.030640722,0.049862201,0.041325697
22.5,0.034765895,0.04602028,0.070809363,0.045475858,0.031504737,0.05087959,0.042265618
23,0.035705239,0.047043317,0.07220805,0.046595002,0.032368165,0.051896087,0.043204955
23.5,0.036643999,0.048065608,0.073604823,0.047713068,0.033231006,0.052911694,0.044143709
24,0.037582176,0.049087155,0.074999683,0.048830055,0.034093262,0.053926411,0.045081879
24.5,0.03851977,0.050107957,0.076392635,0.049945965,0.034954932,0.05494024,0.046019467
25,0.039456782,0.051128016,0.077783679,0.051060798,0.035816017,0.05595318,0.046956472
25.5,0.040393212,0.052147332,0.07917282,0.052174557,0.036676518,0.056965234,0.047892896
26,0.041329061,0.053165906,0.080560059,0.053287242,0.037536434,0.057976402,0.048828738
26.5,0.042264329,0.054183738,0.081945399,0.054398855,0.038395767,0.058986684,0.049764
27,0.043199016,0.055200829,0.083328843,0.055509395,0.039254516,0.059996082,0.05069868
27.5,0.044133123,0.05621718,0.084710393,0.056618865,0.040112683,0.061004596,0.051632781
28,0.045066651,0.05723279,0.086090053,0.057727265,0.040970267,0.062012227,0.052566302
28.5,0.045999599,0.058247662,0.087467825,0.058834597,0.04182727,0.063018976,0.053499244
29,0.046931969,0.059261794,0.088843711,0.059940862,0.042683691,0.064024844,0.054431608
29.5,0.04786376,0.060275189,0.090217714,0.06104606,0.043539532,0.065029831,0.055363393
30,0.048794973,0.061287846,0.091589836,0.062150193,0.044394792,0.066033939,0.056294599
30.5,0.049725609,0.062299766,0.092960081,0.063253263,0.045249472,0.067037168,0.057225229
31,0.050655667,0.06331095,0.094328451,0.064355269,0.046103572,0.06803952,0.058155281
31.5,0.051585149,0.064321398,0.095694949,0.065456213,0.046957093,0.069040994,0.059084757
32,0.052514055,0.065331111,0.097059576,0.066556096,0.047810036,0.070041592,0.060013657
32.5,0.053442385,0.06634009,0.098422337,0.067654919,0.048662401,0.071041315,0.06094198
33,0.05437014,0.067348334,0.099783233,0.068752684,0.049514188,0.072040162,0.061869729
33.5,0.055297319,0.068355846,0.10114227,0.069849391,0.050365397,0.073038137,0.062796902
34,0.056223924,0.069362624,0.10249944,0.070945041,0.05121603,0.074035238,0.063723501
34.5,0.057149955,0.070368671,0.10385476,0.072039636,0.052066087,0.075031467,0.064649526
35,0.058075413,0.071373986,0.10520822,0.073133177,0.052915568,0.076026825,0.065574978
35.5,0.059000297,0.07237857,0.10655983,0.074225664,0.053764473,0.077021312,0.066499856
36,0.059924608,0.073382424,0.1079096,0.075317099,0.054612804,0.078014929,0.067424161
36.5,0.060848347,0.074385548,0.10925751,0.076407482,0.05546056,0.079007678,0.068347894
37,0.061771514,0.075387943,0.11060358,0.077496816,0.056307741,0.079999559,0.069271055
37.5,0.062694109,0.076389609,0.11194781,0.0785851,0.05715435,0.080990572,0.070193644
38,0.063616133,0.077390548,0.11329021,0.079672336,0.058000385,0.081980719,0.071115662
38.5,0.064537587,0.078390759,0.11463076,0.080758526,0.058845848,0.08297,0.07203711
39,0.06545847,0.079390243,0.11596948,0.081843669,0.059690738,0.083958417,0.072957987
39.5,0.066378784,0.080389002,0.11730638,0.082927767,0.060535056,0.084945969,0.073878295
40,0.067298528,0.081387034,0.11864144,0.084010822,0.061378804,0.085932658,0.074798033
40.5,0.068217702,0.082384342,0.11997468,0.085092834,0.06222198,0.086918485,0.075717202
41,0.069136309,0.083380925,0.12130609,0.086173805,0.063064586,0.087903451,0.076635803
41.5,0.070054347,0.084376784,0.12263568,0.087253734,0.063906622,0.088887556,0.077553835
42,0.070971818,0.085371921,0.12396346,0.088332625,0.064748089,0.0898708,0.0784713
42.5,0.071888721,0.086366334,0.12528941,0.089410476,0.065588986,0.090853186,0.079388198
43,0.072805057,0.087360026,0.12661356,0.090487291,0.066429315,0.091834713,0.080304528
43.5,0.073720827,0.088352996,0.12793589,0.091563068,0.067269076,0.092815383,0.081220292
44,0.07463603,0.089345245,0.12925642,0.092637811,0.068108269,0.093795196,0.08213549
