t,ib,vo1,Ts1,Tc1,soc1,ocv1,vo2,Ts2,Tc2,soc2,ocv2,vo3,Ts3,Tc3,soc3,ocv3,vo4,Ts4,Tc4,soc4,ocv4,vo5,Ts5,Tc5,soc5,ocv5,vo6,Ts6,Tc6,soc6,ocv6,vo7,Ts7,Tc7,soc7,ocv7
0.5,0,0,21,21,0.1,3.4294,0,21,21,0.1,3.4294,0,21,21,0.1,3.4294,0,21,21,0.1,3.4294,0,21,21,0.1,3.4294,0,21,21,0.1,3.4294,0,21,21,0.1,3.4294
1,1,3.4294,21,21,0.1,3.4294,3.4294,21,21,0.1,3.4294,3.4294,21,21,0.1,3.4294,3.4294,21,21,0.1,3.4294,3.4294,21,21,0.1,3.4294,3.4294,21,21,0.1,3.4294,3.4294,21,21,0.1,3.4294
1.5,1,3.4729434,21,20.999961,0.10016333,3.4295346,3.4805342,21,21.000018,0.10016333,3.4295346,3.4884622,21,21.000077,0.10016333,3.4295346,3.4756452,21,20.999981,0.10016333,3.4295346,3.4728677,21,20.99996,0.10016333,3.4295346,3.4855342,21,21.000055,0.10016333,3.4295346,3.4804434,21,21.000017,0.10016333,3.4295346
2,1,3.4739863,20.999997,20.999929,0.10032667,3.4296692,3.4816678,21.000002,21.000043,0.10032667,3.4296692,3.4900224,21.000007,21.000164,0.10032667,3.4296692,3.4768893,20.999998,20.999971,0.10032667,3.4296692,3.4738348,20.999997,20.999928,0.10032667,3.4296692,3.4866675,21.000005,21.000118,0.10032667,3.4296692,3.4814863,21.000001,21.000041,0.10032667,3.4296692
2.5,1,3.4750287,20.999991,20.999905,0.10049,3.4298038,3.4828006,21.000005,21.000076,0.10049,3.4298038,3.4915807,21.00002,21.000263,0.10049,3.4298038,3.4781323,20.999996,20.99997,0.10049,3.4298038,3.4748014,20.999991,20.999902,0.10049,3.4298038,3.4877999,21.000015,21.000188,0.10049,3.4298038,3.4825287,21.000005,21.000072,0.10049,3.4298038
3,1,3.4760705,20.999984,20.999888,0.10065333,3.4299383,3.4839328,21.000011,21.000117,0.10065333,3.4299383,3.493137,21.000041,21.000372,0.10065333,3.4299383,3.4793744,20.999994,20.999977,0.10065333,3.4299383,3.4757674,20.999983,20.999883,0.10065333,3.4299383,3.4889315,21.000029,21.000266,0.10065333,3.4299383,3.4835705,21.000011,21.000111,0.10065333,3.4299383
3.5,1,3.4771118,20.999976,20.999878,0.10081667,3.4300729,3.4850642,21.00002,21.000166,0.10081667,3.4300729,3.4946913,21.000068,21.000491,0.10081667,3.4300729,3.4806153,20.999993,20.999993,0.10081667,3.4300729,3.4767329,20.999975,20.99987,0.10081667,3.4300729,3.4900623,21.000049,21.000351,0.10081667,3.4300729,3.4846118,21.000019,21.000156,0.10081667,3.4300729
4,1,3.4781525,20.999968,20.999876,0.10098,3.4302075,3.486195,21.000032,21.000223,0.10098,3.4302075,3.4962437,21.000103,21.000622,0.10098,3.4302075,3.4818552,20.999993,21.000018,0.10098,3.4302075,3.4776979,20.999967,20.999864,0.10098,3.4302075,3.4911922,21.000073,21.000444,0.10098,3.4302075,3.4856525,21.00003,21.000208,0.10098,3.4302075
4.5,1,3.4791928,20.999961,20.99988,0.10114333,3.4303421,3.487325,21.000048,21.000287,0.10114333,3.4303421,3.4977942,21.000144,21.000763,0.10114333,3.4303421,3.4830941,20.999995,21.000051,0.10114333,3.4303421,3.4786624,20.999959,20.999865,0.10114333,3.4303421,3.4923212,21.000103,21.000545,0.10114333,3.4303421,3.4866928,21.000045,21.000268,0.10114333,3.4303421
5,1,3.4802325,20.999956,20.999892,0.10130667,3.4304767,3.4884544,21.000067,21.000358,0.10130667,3.4304767,3.4993427,21.000193,21.000914,0.10130667,3.4304767,3.4843319,21.000001,21.000093,0.10130667,3.4304767,3.4796263,20.999952,20.999872,0.10130667,3.4304767,3.4934494,21.000138,21.000653,0.10130667,3.4304767,3.4877325,21.000062,21.000334,0.10130667,3.4304767
