t,Q1,Q2,Q3,Q4,Q5,Q6,Q7
0.1,1.05648959164018,1.22974286408436,1.44522630431117,1.11999969265028,1.04562834187122,1.38291933612065,1.25512890171377
0.2,1.0610277512021,1.2347405933907,1.45236308520701,1.12554739920363,1.04978950725434,1.38791837758893,1.25966970786626
0.3,1.06556537914719,1.23973762112831,1.45949790110837,1.13109404840014,1.05395013695085,1.39291655973101,1.26420998110451
0.4,1.0701024755302,1.24473394738036,1.46663075255301,1.1366396404326,1.0581102310176,1.39791388269664,1.26874972149045
0.5,1.074639040406,1.24972957223041,1.47376164007851,1.14218417549391,1.06226978951176,1.40291034663544,1.27328892908597
0.6,1.0791750738296,1.25472449576246,1.48089056422226,1.14772765377707,1.06642881249077,1.40790595169695,1.27782760395291
0.7,1.08371057585614,1.25971871806089,1.4880175255215,1.1532700754752,1.07058730001234,1.41290069803065,1.28236574615311
0.8,1.08824554654087,1.26471223921047,1.49514252451327,1.1588114407815,1.07474525213448,1.4178945857859,1.28690335574836
0.9,1.09277998593919,1.26970505929636,1.50226556173448,1.16435174988927,1.07890266891543,1.422887615112,1.29144043280044
1,1.09731389410658,1.27469717840407,1.50938663772183,1.16989100299191,1.0830595504137,1.42787978615817,1.2959769773711
1.1,1.10184727109867,1.27968859661948,1.51650575301188,1.17542920028289,1.08721589668805,1.43287109907354,1.30051298952204
1.2,1.10638011697117,1.28467931402882,1.52362290814101,1.18096634195579,1.09137170779749,1.43786155400715,1.30504846931496
1.3,1.11091243177994,1.28966933071865,1.53073810364544,1.18650242820423,1.09552698380125,1.442851151108,1.30958341681153
1.4,1.11544421558089,1.29465864677586,1.53785134006119,1.19203745922195,1.09968172475881,1.44783989052499,1.31411783207338
1.5,1.11997546843009,1.29964726228767,1.54496261792416,1.19757143520276,1.10383593072985,1.45282777240693,1.31865171516214
1.6,1.12450619038368,1.3046351773416,1.55207193777006,1.20310435634052,1.10798960177429,1.45781479690259,1.32318506613938
1.7,1.12903638149789,1.30962239202549,1.55917930013442,1.20863622282917,1.11214273795225,1.46280096416064,1.32771788506668
1.8,1.13356604182906,1.31460890642745,1.56628470555264,1.21416703486275,1.11629533932406,1.46778627432968,1.33225017200558
