t,ib,Ts1,Ts2,Ts3,Ts4,Ts5,Ts6,Ts7,Tc1,Tc2,Tc3,Tc4,Tc5,Tc6,Tc7
0.1,-5,35,35,35,35,35,35,35,35.0015768501368,35.0018354371106,35.0021570541855,35.0016716413323,35.0015606393162,35.0020640587106,35.001873326719
0.2,-5,35.0000276618537,35.0000276618537,35.0000276618537,35.0000276618537,35.0000276618537,35.0000276618537,35.0000276618537,35.0031591875763,35.0034184604751,35.0037432701643,35.0032554855584,35.0031424140778,35.0036470840336,35.0034556681086
0.3,-5,35.0000823762119,35.0000823762119,35.0000823762119,35.0000823762119,35.0000823762119,35.0000823762119,35.0000823762119,35.0047470296105,35.0050069881806,35.0053349885985,35.0048448335944,35.0047296934281,35.0052356134621,35.005043514091
0.4,-5,35.0001635495724,35.0001635495724,35.0001635495724,35.0001635495724,35.0001635495724,35.0001635495724,35.0001635495724,35.0063403930203,35.0066010370082,35.0069322262696,35.0064397022217,35.0063224941479,35.0068296637773,35.0066368814471
0.5,-5,35.0002706038667,35.0002706038667,35.0002706038667,35.0002706038667,35.0002706038667,35.0002706038667,35.0002706038667,35.0079392940891,35.0082006232411,35.0085349994618,35.0080401077236,35.0079208325206,35.0084292512626,35.0082357864603
0.6,-5,35.0004029760575,35.0004029760575,35.0004029760575,35.0004029760575,35.0004029760575,35.0004029760575,35.0004029760575,35.0095437486156,35.0098057626782,35.0101433239744,35.0096460658991,35.0095247243449,35.0100343917169,35.0098402449292
0.7,-5,35.0005601177469,35.0005601177469,35.0005601177469,35.0005601177469,35.0005601177469,35.0005601177469,35.0005601177469,35.0111537719263,35.011416470646,35.0117572151348,35.011257592075,35.0111341849474,35.0116451004669,35.0114502721805
0.8,-5,35.0007414947944,35.0007414947944,35.0007414947944,35.0007414947944,35.0007414947944,35.0007414947944,35.0007414947944,35.0127693788882,35.0130327620116,35.0133766878106,35.0128747011184,35.0127492291951,35.0132613923796,35.0130658830811
0.9,-5,35.0009465869457,35.0009465869457,35.0009465869457,35.0009465869457,35.0009465869457,35.0009465869457,35.0009465869457,35.0143905839206,35.0146546511942,35.0150017564218,35.0144974074489,35.0143698715071,35.0148832818746,35.0146870920502
1,-5,35.0011748874702,35.0011748874702,35.0011748874702,35.0011748874702,35.0011748874702,35.0011748874702,35.0011748874702,35.0160174010067,35.0162821521773,35.0166324349523,35.0161257250498,35.0159961258668,35.0165107829351,35.0163139130712
1.1,-5,35.0014259028083,35.0014259028083,35.0014259028083,35.0014259028083,35.0014259028083,35.0014259028083,35.0014259028083,35.0176498437051,35.0179152785193,35.0182687369617,35.01775966748,35.0176280058329,35.01814390912,35.0179463597028
